source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-DMN,1915,Western Association,0413-fortsmith-muskogee-0,19150413,0,Muskogee,0,Fort Smith,5,JZKWTYC
boxscores/1915/1915-DMN,1915,Western Association,0413-denison-mcalester-0,19150413,0,Denison,11,McAlester,8,LPNPPRN
boxscores/1915/1915-DMN,1915,Western Association,0413-oklahomacity-tulsa-0,19150413,0,Tulsa,1,Oklahoma City,5,CJZMDBQ
boxscores/1915/1915-DMN,1915,Western Association,0413-paris-sherman-0,19150413,0,Paris,1,Sherman,3,XNVKCLF
boxscores/1915/1915-DMN,1915,Western Association,0414-fortsmith-muskogee-0,19150414,0,Muskogee,7,Fort Smith,2,SDKRDVY
boxscores/1915/1915-DMN,1915,Western Association,0414-denison-mcalester-0,19150414,0,Denison,16,McAlester,10,VDGKRNS
boxscores/1915/1915-DMN,1915,Western Association,0414-oklahomacity-tulsa-0,19150414,0,Tulsa,1,Oklahoma City,2,FPXRCDD
boxscores/1915/1915-DMN,1915,Western Association,0414-paris-sherman-0,19150414,0,Paris,0,Sherman,5,VMWQBSM
boxscores/1915/1915-DMN,1915,Western Association,0415-fortsmith-muskogee-0,19150415,0,Muskogee,2,Fort Smith,6,GBNXTKG
boxscores/1915/1915-DMN,1915,Western Association,0415-denison-mcalester-0,19150415,0,Denison,11,McAlester,1,TKHCYCG
boxscores/1915/1915-DMN,1915,Western Association,0415-oklahomacity-tulsa-0,19150415,0,Tulsa,2,Oklahoma City,5,NWKCWDD
boxscores/1915/1915-DMN,1915,Western Association,0415-paris-sherman-0,19150415,0,Paris,0,Sherman,5,WVVFMXV
boxscores/1915/1915-DMN,1915,Western Association,0416-denison-mcalester-0,19150416,0,McAlester,6,Denison,1,DSGBNQQ
boxscores/1915/1915-DMN,1915,Western Association,0416-fortsmith-muskogee-0,19150416,0,Fort Smith,7,Muskogee,2,YYRWNJT
boxscores/1915/1915-DMN,1915,Western Association,0416-paris-sherman-0,19150416,0,Sherman,4,Paris,10,VGJBLDH
boxscores/1915/1915-DMN,1915,Western Association,0416-oklahomacity-tulsa-0,19150416,0,Oklahoma City,4,Tulsa,6,DGYMXDG
boxscores/1915/1915-DMN,1915,Western Association,0417-denison-mcalester-0,19150417,0,McAlester,0,Denison,6,MCGHPKC
boxscores/1915/1915-DMN,1915,Western Association,0417-fortsmith-muskogee-0,19150417,0,Fort Smith,7,Muskogee,5,MQRNYNN
boxscores/1915/1915-DMN,1915,Western Association,0417-paris-sherman-0,19150417,0,Sherman,10,Paris,6,FGPXWKH
boxscores/1915/1915-DMN,1915,Western Association,0417-oklahomacity-tulsa-0,19150417,0,Oklahoma City,3,Tulsa,1,STQFKSJ
boxscores/1915/1915-DMN,1915,Western Association,0418-denison-mcalester-0,19150418,0,McAlester,5,Denison,9,BXXFHQF
boxscores/1915/1915-DMN,1915,Western Association,0418-fortsmith-muskogee-0,19150418,0,Fort Smith,11,Muskogee,3,XFGHBQS
boxscores/1915/1915-DMN,1915,Western Association,0418-paris-sherman-0,19150418,0,Sherman,1,Paris,3,NXYJYNR
boxscores/1915/1915-DMN,1915,Western Association,0418-oklahomacity-tulsa-0,19150418,0,Oklahoma City,2,Tulsa,4,FBTYFTF
boxscores/1915/1915-DMN,1915,Western Association,0419-denison-fortsmith-0,19150419,0,Fort Smith,3,Denison,9,MXFHKQY
boxscores/1915/1915-DMN,1915,Western Association,0419-mcalester-oklahomacity-0,19150419,0,Oklahoma City,6,McAlester,7,WPDSGDV
boxscores/1915/1915-DMN,1915,Western Association,0419-muskogee-paris-0,19150419,0,Muskogee,,Paris,,PSXJKXX
boxscores/1915/1915-DMN,1915,Western Association,0419-sherman-tulsa-0,19150419,0,Tulsa,2,Sherman,5,JPPJSXH
boxscores/1915/1915-DMN,1915,Western Association,0420-denison-fortsmith-0,19150420,0,Fort Smith,6,Denison,7,HKLXKTR
boxscores/1915/1915-DMN,1915,Western Association,0420-mcalester-oklahomacity-0,19150420,0,Oklahoma City,12,McAlester,6,ZRZPXKB
boxscores/1915/1915-DMN,1915,Western Association,0420-muskogee-paris-0,19150420,0,Muskogee,,Paris,,DSVMLCP
boxscores/1915/1915-DMN,1915,Western Association,0420-sherman-tulsa-0,19150420,0,Tulsa,4,Sherman,5,SRHNZQK
boxscores/1915/1915-DMN,1915,Western Association,0421-denison-fortsmith-0,19150421,0,Fort Smith,6,Denison,7,YDZXBMQ
boxscores/1915/1915-DMN,1915,Western Association,0421-mcalester-oklahomacity-0,19150421,0,Oklahoma City,11,McAlester,2,WTLZYTC
boxscores/1915/1915-DMN,1915,Western Association,0421-muskogee-paris-0,19150421,0,Muskogee,,Paris,,GPGYHXB
boxscores/1915/1915-DMN,1915,Western Association,0421-sherman-tulsa-0,19150421,0,Tulsa,,Sherman,,QCJTNQM
boxscores/1915/1915-DMN,1915,Western Association,0422-denison-oklahomacity-0,19150422,0,Oklahoma City,,Denison,,MJSFSZL
boxscores/1915/1915-DMN,1915,Western Association,0422-fortsmith-mcalester-0,19150422,0,Fort Smith,,McAlester,,CHYLKGF
boxscores/1915/1915-DMN,1915,Western Association,0422-paris-tulsa-0,19150422,0,Tulsa,2,Paris,2,SSLXGMD
boxscores/1915/1915-DMN,1915,Western Association,0422-muskogee-sherman-0,19150422,0,Muskogee,,Sherman,,VJLTKYQ
boxscores/1915/1915-DMN,1915,Western Association,0423-denison-oklahomacity-0,19150423,0,Oklahoma City,,Denison,,MSPSZPF
